Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394816,E12000001,H,2,1,2,6,2,2,1,2,1,2,5,8,2,-9,4
7394745,E12000001,H,5,1,1,4,1,2,1,1,1,2,1,8,6,4,3
7395066,E12000001,H,3,1,2,4,1,2,1,1,1,1,1,6,11,3,4
7395329,E12000001,H,3,1,2,2,1,2,1,2,1,2,1,7,7,3,2
7394712,E12000001,H,3,1,1,5,4,2,1,1,1,2,1,1,4,3,2
7394750,E12000001,H,2,1,1,6,2,2,1,2,1,1,1,9,2,3,3
7394871,E12000001,H,5,1,2,4,3,2,1,2,1,1,1,6,11,2,3
7394832,E12000001,H,3,1,2,1,1,2,1,2,1,1,-9,-9,-9,-9,-9
7394719,E12000001,H,2,1,1,7,2,2,1,1,1,2,5,8,2,-9,2
7394840,E12000001,H,1,1,2,6,4,2,1,3,1,2,5,9,5,-9,4
7395142,E12000001,H,2,1,1,2,1,2,1,1,1,2,1,8,3,3,4
7395143,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7395306,E12000001,H,2,1,2,6,2,2,1,3,1,2,7,6,11,-9,2
7395298,E12000001,H,1,1,2,8,5,2,1,3,1,2,5,7,4,-9,4
7395263,E12000001,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394504,E12000001,H,2,1,2,6,2,2,1,1,1,2,1,7,4,1,4
7395307,E12000001,H,2,1,2,4,2,2,1,1,1,2,1,3,4,3,2
7394590,E12000001,H,5,1,2,5,5,2,1,2,1,2,1,9,3,2,4
7395340,E12000001,H,1,1,2,6,4,2,1,1,1,2,5,3,8,-9,2
7395377,E12000001,H,2,1,2,4,2,2,1,2,1,2,1,2,11,2,2
7395256,E12000001,H,2,1,1,6,2,2,1,3,1,2,5,1,4,-9,2
7395259,E12000001,H,2,1,1,7,2,2,1,2,1,1,5,8,2,-9,4
7395303,E12000001,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394780,E12000001,H,2,1,1,3,1,2,1,2,1,2,1,8,2,3,3
7394783,E12000001,H,3,1,2,7,5,2,1,4,1,2,5,5,2,-9,3
7394827,E12000001,H,6,1,1,8,1,2,1,2,1,2,5,2,12,-9,2
7394627,E12000001,H,5,1,1,5,1,2,1,3,1,2,1,8,2,3,4
7395009,E12000001,H,2,1,1,7,2,2,1,3,1,2,9,5,2,-9,4
7394852,E12000001,H,2,1,2,5,2,2,1,3,1,2,8,9,5,-9,4
7394834,E12000001,H,3,1,1,2,1,2,1,2,1,1,1,7,4,3,4
7395016,E12000001,H,2,1,2,6,2,2,1,1,1,2,1,6,11,3,2
7394984,E12000001,H,3,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
7395208,E12000001,H,3,1,1,3,1,2,1,1,1,1,3,5,3,-9,4
7394828,E12000001,H,1,1,1,6,4,2,1,4,1,2,5,9,4,-9,4
7395007,E12000001,H,2,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
7395012,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394826,E12000001,H,2,1,1,5,2,2,1,2,1,2,2,5,3,3,3
7395225,E12000001,H,5,1,2,3,1,2,1,3,1,1,3,6,11,-9,4
7394837,E12000001,H,2,1,2,2,1,2,1,1,1,2,1,6,11,2,4
7395209,E12000001,H,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394831,E12000001,H,1,1,1,4,1,2,1,2,1,1,8,6,2,-9,4
7394996,E12000001,H,2,1,1,7,2,2,1,3,1,2,5,8,2,-9,4
7395002,E12000001,H,5,1,2,5,1,1,1,2,1,2,4,3,10,3,2
7395008,E12000001,H,2,1,2,6,2,2,1,4,1,2,1,4,3,3,2
